sku_id,sku_name,storage_type,category,unit_weight_kg,lead_time_day,center_id,region,stock_qty_unit,stock_kg,monthly_outbound_kg,daily_avg_outbound_kg,transfer_in_kg,transfer_out_kg,turnover_kg,safety_stock_kg,center_capa_kg,capa_utilization_pct
410676,410676 상품,실온,농산물,20.0,1,1,수도권,590.0,11800.0,148080.0,4936.0,7300.0,4400.0,12.549,2468.0,1464585.2,63.94
437314,437314 상품,냉장,가공식품,2.5,7,1,수도권,0.0,0.0,39680.0,1322.667,5360.0,31500.0,,4629.33,1464585.2,63.94
426361,426361 상품,실온,가공식품,16.5,3,1,수도권,731.0,12061.5,38214.0,1273.8,17.0,52767.0,3.168,1910.7,1464585.2,63.94
394662,394662 상품,냉동,가공식품,12.0,2,1,수도권,694.0,8328.0,37092.0,1236.4,60.0,0.0,4.454,1236.4,1464585.2,63.94
384845,384845 상품,실온,농산물,20.0,1,1,수도권,0.0,0.0,35500.0,1183.333,35640.0,20.0,,591.67,1464585.2,63.94
348969,348969 상품,실온,농산물,20.0,1,1,수도권,39.0,780.0,35360.0,1178.667,0.0,3620.0,45.333,589.33,1464585.2,63.94
399894,399894 상품,실온,농산물,20.0,2,1,수도권,322.0,6440.0,34060.0,1135.333,0.0,100.0,5.289,1135.33,1464585.2,63.94
285947,285947 상품,실온,가공식품,15.0,1,1,수도권,653.0,9795.0,28320.0,944.0,0.0,3420.0,2.891,472.0,1464585.2,63.94
211959,211959 상품,실온,농산물,20.0,1,1,수도권,132.0,2640.0,27140.0,904.667,0.0,6340.0,10.28,452.33,1464585.2,63.94
200034,200034 상품,실온,농산물,20.0,1,1,수도권,209.0,4180.0,27000.0,900.0,0.0,4040.0,6.459,450.0,1464585.2,63.94
438888,438888 상품,냉동,축산물,6.0,1,1,수도권,578.0,3468.0,26652.0,888.4,0.0,0.0,7.685,444.2,1464585.2,63.94
221145,221145 상품,실온,농산물,20.0,1,1,수도권,61.0,1220.0,24920.0,830.667,0.0,6820.0,20.426,415.33,1464585.2,63.94
437324,437324 상품,냉동,가공식품,0.37,7,1,수도권,1040.0,384.8,24464.4,815.48,2308.0,340.0,63.577,2854.18,1464585.2,63.94
196768,196768 상품,실온,가공식품,16.506,1,1,수도권,353.0,5826.618,20665.512,688.85,0.0,512.0,3.547,344.43,1464585.2,63.94
203202,203202 상품,실온,농산물,20.0,2,1,수도권,220.0,4400.0,19580.0,652.667,20.0,860.0,4.45,652.67,1464585.2,63.94
107027,107027 상품,냉동,가공식품,0.3,3,1,수도권,37980.0,11394.0,19449.0,648.3,0.0,22284.0,1.707,972.45,1464585.2,63.94
371325,371325 상품,냉동,가공식품,2.97,2,1,수도권,1436.0,4264.92,19417.86,647.262,0.0,12650.0,4.553,647.26,1464585.2,63.94
441403,441403 상품,실온,가공식품,0.355,1,1,수도권,38163.0,13547.865,18922.92,630.764,60.0,46987.68,1.397,315.38,1464585.2,63.94
437606,437606 상품,실온,비식품,25.0,1,1,수도권,785.0,19625.0,18900.0,630.0,0.0,8750.0,0.963,315.0,1464585.2,63.94
396370,396370 상품,실온,가공식품,8.0,1,1,수도권,1591.0,12728.0,17264.0,575.467,32.0,23696.0,1.356,287.73,1464585.2,63.94
449508,449508 상품,실온,가공식품,0.12,7,1,수도권,17248.0,2069.7599999999998,17082.24,569.408,0.0,847.0,8.253,1992.93,1464585.2,63.94
436027,436027 상품,냉동,가공식품,10.0,15,1,수도권,0.0,0.0,16420.0,547.333,16420.0,0.0,,4105.0,1464585.2,63.94
336083,336083 상품,실온,농산물,20.0,2,1,수도권,113.0,2260.0,15640.0,521.333,20.0,41040.0,6.92,521.33,1464585.2,63.94
441404,441404 상품,실온,가공식품,0.355,1,1,수도권,9323.0,3309.665,14134.68,471.156,51.0,29452.88,4.271,235.58,1464585.2,63.94
438895,438895 상품,냉동,축산물,7.8,1,1,수도권,120.0,936.0,13579.8,452.66,0.0,0.0,14.508,226.33,1464585.2,63.94
197095,197095 상품,실온,가공식품,1.0,3,1,수도권,1667.0,1667.0,13520.0,450.667,0.0,880.0,8.11,676.0,1464585.2,63.94
342003,342003 상품,실온,가공식품,10.0,2,1,수도권,80.0,800.0,13390.0,446.333,50.0,760.0,16.738,446.33,1464585.2,63.94
219674,219674 상품,실온,농산물,20.0,1,1,수도권,101.0,2020.0,12740.0,424.667,0.0,1980.0,6.307,212.33,1464585.2,63.94
437323,437323 상품,냉동,가공식품,0.25,7,1,수도권,3250.0,812.5,12050.0,401.667,25.0,0.0,14.831,1405.83,1464585.2,63.94
126988,126988 상품,냉동,가공식품,2.0,1,1,수도권,92.0,184.0,12038.0,401.267,32.0,11218.0,65.424,200.63,1464585.2,63.94
262993,262993 상품,실온,가공식품,10.0,2,1,수도권,0.0,0.0,11990.0,399.667,11990.0,0.0,,399.67,1464585.2,63.94
449440,449440 상품,냉장,가공식품,10.0,7,1,수도권,0.0,0.0,11810.0,393.667,11830.0,40.0,,1377.83,1464585.2,63.94
391060,391060 상품,냉동,축산물,2.0,3,1,수도권,675.0,1350.0,11584.0,386.133,580.0,0.0,8.581,579.2,1464585.2,63.94
437604,437604 상품,실온,비식품,20.0,1,1,수도권,0.0,0.0,11120.0,370.667,11140.0,0.0,,185.33,1464585.2,63.94
440408,440408 상품,냉장,가공식품,2.5,3,1,수도권,2248.0,5620.0,10380.0,346.0,0.0,25808.0,1.847,519.0,1464585.2,63.94
372666,372666 상품,실온,가공식품,7.0,3,1,수도권,281.0,1967.0,10164.0,338.8,0.0,574.0,5.167,508.2,1464585.2,63.94
140173,140173 상품,실온,가공식품,10.0,2,1,수도권,0.0,0.0,9950.0,331.667,9960.0,20.0,,331.67,1464585.2,63.94
385646,385646 상품,실온,가공식품,2.84,1,1,수도권,875.0,2485.0,9888.88,329.629,0.0,225.0,3.979,164.81,1464585.2,63.94
135871,135871 상품,실온,가공식품,16.506,1,1,수도권,246.0,4060.476,9738.54,324.618,0.0,2509.0,2.398,162.31,1464585.2,63.94
112751,112751 상품,실온,가공식품,0.5,1,1,수도권,0.0,0.0,9696.0,323.2,9696.0,0.0,,161.6,1464585.2,63.94
106931,106931 상품,실온,가공식품,18.0,1,1,수도권,103.0,1854.0,9666.0,322.2,0.0,324.0,5.214,161.1,1464585.2,63.94
370881,370881 상품,냉장,가공식품,10.0,5,1,수도권,740.0,7400.0,9080.0,302.667,0.0,10730.0,1.227,756.67,1464585.2,63.94
437297,437297 상품,냉장,가공식품,2.0,10,1,수도권,0.0,0.0,8980.0,299.333,8982.0,22.0,,1496.67,1464585.2,63.94
436021,436021 상품,냉동,축산물,12.0,1,1,수도권,187.0,2244.0,8808.0,293.6,24.0,18384.0,3.925,146.8,1464585.2,63.94
257722,257722 상품,실온,가공식품,0.21,1,1,수도권,14348.0,3013.08,8747.13,291.571,0.0,1830.6399999999999,2.903,145.79,1464585.2,63.94
460323,460323 상품,실온,농산물,20.0,1,1,수도권,208.0,4160.0,8300.0,276.667,0.0,0.0,1.995,138.33,1464585.2,63.94
437602,437602 상품,실온,비식품,17.0,1,1,수도권,0.0,0.0,8228.0,274.267,6426.0,1445.0,,137.13,1464585.2,63.94
278773,278773 상품,실온,가공식품,3.0,1,1,수도권,0.0,0.0,8109.0,270.3,8157.0,0.0,,135.15,1464585.2,63.94
140182,140182 상품,실온,가공식품,20.0,1,1,수도권,255.0,5100.0,8080.0,269.333,0.0,320.0,1.584,134.67,1464585.2,63.94
442343,442343 상품,실온,농산물,20.0,1,1,수도권,0.0,0.0,7740.0,258.0,7780.0,0.0,,129.0,1464585.2,63.94
387242,387242 상품,냉동,가공식품,1.0,2,1,수도권,1180.0,1180.0,7672.0,255.733,308.0,6527.0,6.502,255.73,1464585.2,63.94
437320,437320 상품,냉동,가공식품,2.5,7,1,수도권,1146.0,2865.0,7645.0,254.833,0.0,385.0,2.668,891.92,1464585.2,63.94
162985,162985 상품,실온,가공식품,21.0,1,1,수도권,179.0,3759.0,7476.0,249.2,0.0,168.0,1.989,124.6,1464585.2,63.94
223855,223855 상품,실온,농산물,20.0,1,1,수도권,67.0,1340.0,7360.0,245.333,1400.0,13560.0,5.493,122.67,1464585.2,63.94
387749,387749 상품,냉동,가공식품,3.0,2,1,수도권,0.0,0.0,7254.0,241.8,7611.0,357.0,,241.8,1464585.2,63.94
455667,455667 상품,실온,가공식품,13.0,7,1,수도권,369.0,4797.0,7046.0,234.867,247.0,16991.0,1.469,822.03,1464585.2,63.94
453109,453109 상품,실온,가공식품,10.0,6,1,수도권,0.0,0.0,7040.0,234.667,750.0,9990.0,,704.0,1464585.2,63.94
344480,344480 상품,냉동,가공식품,2.0,1,1,수도권,799.0,1598.0,6880.0,229.333,0.0,0.0,4.305,114.67,1464585.2,63.94
431177,431177 상품,냉동,축산물,12.0,1,1,수도권,851.0,10212.0,6852.0,228.4,48.0,18612.0,0.671,114.2,1464585.2,63.94
437322,437322 상품,냉동,가공식품,0.16,7,1,수도권,3000.0,480.0,6662.4,222.08,1037.0,681.8,13.88,777.28,1464585.2,63.94
225862,225862 상품,냉동,수산물,0.5,2,1,수도권,5663.0,2831.5,6645.5,221.517,37.0,4532.5,2.347,221.52,1464585.2,63.94
392443,392443 상품,냉장,가공식품,1.0,1,1,수도권,3226.0,3226.0,6587.0,219.567,0.0,15238.0,2.042,109.78,1464585.2,63.94
435569,435569 상품,냉동,가공식품,5.0,5,1,수도권,0.0,0.0,6540.0,218.0,6540.0,5.0,,545.0,1464585.2,63.94
387120,387120 상품,냉동,가공식품,0.3,7,1,수도권,0.0,0.0,6529.2,217.64,6530.0,0.0,,761.74,1464585.2,63.94
424613,424613 상품,냉동,가공식품,1.0,1,1,수도권,1905.0,1905.0,6362.0,212.067,28.0,9491.0,3.34,106.03,1464585.2,63.94
438712,438712 상품,냉동,가공식품,0.25,4,1,수도권,0.0,0.0,6350.0,211.667,6350.0,1.0,,423.33,1464585.2,63.94
