상품코드,센터,재고량_최소단위,재고량_kg,월출고량_kg,이체유입_kg,이체유출_kg,회전율_kg(출고kg/재고kg)
410676,1,590.0,11800.0,148080.0,7300.0,4400.0,12.549
437314,1,0.0,0.0,39680.0,5360.0,31500.0,
426361,1,731.0,12061.5,38214.0,17.0,52767.0,3.168
394662,1,694.0,8328.0,37092.0,60.0,0.0,4.454
384845,1,0.0,0.0,35500.0,35640.0,20.0,
348969,1,39.0,780.0,35360.0,0.0,3620.0,45.333
399894,1,322.0,6440.0,34060.0,0.0,100.0,5.289
285947,1,653.0,9795.0,28320.0,0.0,3420.0,2.891
211959,1,132.0,2640.0,27140.0,0.0,6340.0,10.28
200034,1,209.0,4180.0,27000.0,0.0,4040.0,6.459
438888,1,578.0,3468.0,26652.0,0.0,0.0,7.685
221145,1,61.0,1220.0,24920.0,0.0,6820.0,20.426
437324,1,1040.0,384.8,24464.4,2308.0,340.0,63.577
196768,1,353.0,5826.618,20665.512,0.0,512.0,3.547
203202,1,220.0,4400.0,19580.0,20.0,860.0,4.45
107027,1,37980.0,11394.0,19449.0,0.0,22284.0,1.707
371325,1,1436.0,4264.92,19417.86,0.0,12650.0,4.553
441403,1,38163.0,13547.865,18922.92,60.0,46987.68,1.397
437606,1,785.0,19625.0,18900.0,0.0,8750.0,0.963
396370,1,1591.0,12728.0,17264.0,32.0,23696.0,1.356
449508,1,17248.0,2069.7599999999998,17082.24,0.0,847.0,8.253
436027,1,0.0,0.0,16420.0,16420.0,0.0,
336083,1,113.0,2260.0,15640.0,20.0,41040.0,6.92
441404,1,9323.0,3309.665,14134.68,51.0,29452.88,4.271
438895,1,120.0,936.0,13579.8,0.0,0.0,14.508
197095,1,1667.0,1667.0,13520.0,0.0,880.0,8.11
342003,1,80.0,800.0,13390.0,50.0,760.0,16.738
219674,1,101.0,2020.0,12740.0,0.0,1980.0,6.307
437323,1,3250.0,812.5,12050.0,25.0,0.0,14.831
126988,1,92.0,184.0,12038.0,32.0,11218.0,65.424
262993,1,0.0,0.0,11990.0,11990.0,0.0,
449440,1,0.0,0.0,11810.0,11830.0,40.0,
391060,1,675.0,1350.0,11584.0,580.0,0.0,8.581
437604,1,0.0,0.0,11120.0,11140.0,0.0,
440408,1,2248.0,5620.0,10380.0,0.0,25808.0,1.847
372666,1,281.0,1967.0,10164.0,0.0,574.0,5.167
140173,1,0.0,0.0,9950.0,9960.0,20.0,
385646,1,875.0,2485.0,9888.88,0.0,225.0,3.979
135871,1,246.0,4060.476,9738.54,0.0,2509.0,2.398
112751,1,0.0,0.0,9696.0,9696.0,0.0,
106931,1,103.0,1854.0,9666.0,0.0,324.0,5.214
370881,1,740.0,7400.0,9080.0,0.0,10730.0,1.227
437297,1,0.0,0.0,8980.0,8982.0,22.0,
436021,1,187.0,2244.0,8808.0,24.0,18384.0,3.925
257722,1,14348.0,3013.08,8747.13,0.0,1830.6399999999999,2.903
460323,1,208.0,4160.0,8300.0,0.0,0.0,1.995
437602,1,0.0,0.0,8228.0,6426.0,1445.0,
278773,1,0.0,0.0,8109.0,8157.0,0.0,
140182,1,255.0,5100.0,8080.0,0.0,320.0,1.584
442343,1,0.0,0.0,7740.0,7780.0,0.0,
387242,1,1180.0,1180.0,7672.0,308.0,6527.0,6.502
437320,1,1146.0,2865.0,7645.0,0.0,385.0,2.668
162985,1,179.0,3759.0,7476.0,0.0,168.0,1.989
223855,1,67.0,1340.0,7360.0,1400.0,13560.0,5.493
387749,1,0.0,0.0,7254.0,7611.0,357.0,
455667,1,369.0,4797.0,7046.0,247.0,16991.0,1.469
453109,1,0.0,0.0,7040.0,750.0,9990.0,
344480,1,799.0,1598.0,6880.0,0.0,0.0,4.305
431177,1,851.0,10212.0,6852.0,48.0,18612.0,0.671
437322,1,3000.0,480.0,6662.4,1037.0,681.8,13.88
225862,1,5663.0,2831.5,6645.5,37.0,4532.5,2.347
392443,1,3226.0,3226.0,6587.0,0.0,15238.0,2.042
435569,1,0.0,0.0,6540.0,6540.0,5.0,
387120,1,0.0,0.0,6529.2,6530.0,0.0,
424613,1,1905.0,1905.0,6362.0,28.0,9491.0,3.34
438712,1,0.0,0.0,6350.0,6350.0,1.0,
424365,1,128.0,1536.0,6312.0,0.0,0.0,4.109
168657,1,88.0,1760.0,6160.0,40.0,6000.0,3.5
138365,1,777.0,971.25,6155.0,0.0,0.0,6.337
427473,1,2688.0,5376.0,6102.0,0.0,0.0,1.135
436007,1,0.0,0.0,6048.0,6048.0,0.0,
116945,1,462.0,1362.9,6044.55,0.0,2890.9,4.435
389547,1,0.0,0.0,6012.0,6048.0,0.0,
100965,1,4360.0,2180.0,6000.0,1660.0,680.0,2.752
122935,1,333.0,982.35,5979.65,163.0,2310.0,6.087
431372,1,0.0,0.0,5930.0,5930.0,0.0,
337229,1,9744.0,3410.3999999999996,5888.4,8.0,7282.8,1.727
138271,1,853.0,1066.25,5818.75,0.0,0.0,5.457
294614,1,649.0,1298.0,5796.0,0.0,0.0,4.465
457579,1,7516.0,6012.8,5747.2,12.0,17763.6,0.956
345674,1,0.0,0.0,5664.0,5664.0,0.0,
280432,1,8828.0,1103.5,5606.875,0.0,840.0,5.081
390233,1,219.0,3613.5,5593.5,0.0,21946.0,1.548
421532,1,315.0,2520.0,5576.0,0.0,120.0,2.213
368865,1,1580.0,4740.0,5565.0,0.0,180.0,1.174
138272,1,3212.0,3693.7999999999997,5513.1,0.0,0.0,1.493
160016,1,425.0,1402.5,5484.6,0.0,508.0,3.911
458258,1,42800.0,4280.0,5416.0,0.0,340.0,1.265
389503,1,5689.0,5689.0,5309.0,27.0,6139.0,0.933
459818,1,0.0,0.0,5260.0,5460.0,0.0,
391082,1,0.0,0.0,5245.0,5254.0,90.0,
435562,1,7607.91,7607.91,5050.42,0.0,4647.34,0.664
362526,1,0.0,0.0,5040.0,5054.0,14.0,
303506,1,785.0,2135.2000000000003,4955.84,22.0,21.76,2.321
105314,1,2922.0,2922.0,4939.0,0.0,228.0,1.69
439875,1,8.0,80.0,4920.0,10.0,7040.0,61.5
117642,1,0.0,0.0,4916.0,4920.0,0.0,
437087,1,0.0,0.0,4910.0,5030.0,0.0,
391532,1,0.0,0.0,4896.0,4914.0,0.0,
407408,1,4777.11,4777.11,4879.22,0.0,0.0,1.021
426648,1,60.0,316.8,4857.6,317.0,5306.4,15.333
437524,1,0.0,0.0,4806.3,4829.0,0.0,
389708,1,0.0,0.0,4700.0,4700.0,0.0,
370216,1,0.0,0.0,4645.08,0.0,0.0,
373141,1,139.0,2780.0,4640.0,280.0,6380.0,1.669
435235,1,1018.0,2036.0,4620.0,12.0,5610.0,2.269
372644,1,1010.0,1454.3999999999999,4612.32,0.0,5518.280000000001,3.171
158924,1,12027.0,3608.1,4593.6,0.0,10126.3,1.273
325396,1,0.0,0.0,4537.0,4580.0,32.0,
454575,1,82.0,420.65999999999997,4519.53,0.0,11716.61,10.744
123913,1,555.0,1110.0,4484.0,50.0,2032.0,4.04
372642,1,0.0,0.0,4411.0,4412.0,14.0,
370336,1,0.0,0.0,4372.0,4372.0,0.0,
391062,1,1294.0,2588.0,4372.0,0.0,0.0,1.689
434705,1,1155.0,1455.3,4236.12,8.0,808.9,2.911
438025,1,0.0,0.0,4206.0,4212.0,0.0,
228381,1,250.0,3000.0,4140.0,0.0,12432.0,1.38
454439,1,0.0,0.0,4130.4,4139.0,6.0,
247343,1,1162.0,1220.1000000000001,4128.6,0.0,0.0,3.384
439111,1,174.0,1044.0,4074.0,0.0,0.0,3.902
370334,1,3621.0,2788.17,4060.21,2.0,0.0,1.456
454995,1,0.0,0.0,4047.0,4047.0,0.0,
387719,1,1878.0,3756.0,4030.0,0.0,12108.0,1.073
251923,1,306.0,612.0,4028.0,0.0,3066.0,6.582
130805,1,0.0,0.0,4010.0,4027.0,1.0,
294622,1,1166.0,2332.0,3996.0,208.0,2722.0,1.714
235555,1,2166.0,2166.0,3989.0,1240.0,73.0,1.842
440410,1,610.0,1525.0,3955.0,56.0,11640.5,2.593
390905,1,0.0,0.0,3952.0,3955.0,0.0,
108420,1,0.0,0.0,3919.8,3925.0,0.0,
391084,1,0.0,0.0,3893.0,3893.0,0.0,
295723,1,0.0,0.0,3890.0,3890.0,0.0,
437354,1,0.0,0.0,3837.9,3864.0,0.0,
454040,1,13968.0,1746.0,3816.0,15.0,366.0,2.186
436009,1,0.0,0.0,3808.0,3808.0,0.0,
390088,1,0.0,0.0,3761.0,3776.0,0.0,
347918,1,0.0,0.0,3760.0,3760.0,0.0,
427912,1,0.0,0.0,3760.0,3760.0,0.0,
459371,1,0.0,0.0,3759.0,0.0,0.0,
158135,1,2300.0,1150.0,3720.0,0.0,2830.0,3.235
431314,1,0.0,0.0,3710.0,3720.0,0.0,
452329,1,3012.0,3012.0,3652.0,0.0,5071.0,1.212
440171,1,0.0,0.0,3568.5,3582.0,0.0,
362482,1,0.0,0.0,3566.7,1882.0,189.7,
441157,1,1883.14,1883.14,3536.84,0.0,10166.46,1.878
397917,1,0.0,0.0,3522.0,3534.0,0.0,
458239,1,0.0,0.0,3515.0,3515.0,100.0,
373419,1,89.0,1780.0,3500.0,40.0,4640.0,1.966
137063,1,254.0,2540.0,3500.0,30.0,2350.0,1.378
371326,1,231.0,2079.0,3483.0,0.0,3663.0,1.675
294616,1,332.0,664.0,3482.0,0.0,0.0,5.244
373780,1,0.0,0.0,3415.0,3417.0,23.0,
398546,1,0.0,0.0,3412.0,3424.0,0.0,
437300,1,0.0,0.0,3380.0,3380.0,0.0,
351084,1,587.0,3991.6,3366.0,0.0,5998.2,0.843
381515,1,0.0,0.0,3346.2,3349.0,0.0,
100108,1,101.0,2020.0,3340.0,0.0,160.0,1.653
440145,1,0.0,0.0,3332.0,3332.0,0.0,
376212,1,0.0,0.0,3307.5,3366.0,50.0,
394379,1,0.0,0.0,3300.0,3330.0,0.0,
138392,1,44.0,748.0,3281.0,0.0,289.0,4.386
426647,1,35.0,280.0,3272.0,112.0,3712.0,11.686
387340,1,8625.0,3450.0,3266.8,0.0,167.8,0.947
138260,1,327.0,1635.0,3260.0,0.0,280.0,1.994
138070,1,222.0,555.0,3237.5,6.0,3518.0,5.833
458653,1,0.0,0.0,3225.0,3230.0,0.0,
124171,1,13501.0,3240.24,3203.52,6.0,4045.12,0.989
459236,1,28394.0,2555.46,3164.76,0.0,0.0,1.238
455116,1,5121.0,5121.0,3152.0,53.0,7196.0,0.616
280433,1,0.0,0.0,3150.75,3151.0,0.0,
439805,1,930.0,2836.5,3123.2,3.0,5685.55,1.101
105599,1,4385.0,1973.25,3076.2,18.0,7634.2,1.559
512178,1,6.0,52.800000000000004,3018.4,79.0,0.0,57.167
103556,1,480.0,55.2,2997.36,0.0,138.0,54.3
388679,1,848.0,2544.0,2976.0,105.0,5481.0,1.17
372645,1,860.0,1376.0,2968.0,0.0,3585.6,2.157
362836,1,577.0,1731.0,2961.0,63.0,10986.0,1.711
701348,1,30.0,150.0,2950.0,75.0,0.0,19.667
398555,1,0.0,0.0,2942.5,2958.0,0.0,
454042,1,25296.0,3162.0,2928.0,0.0,198.0,0.926
398284,1,0.0,0.0,2920.0,2920.0,0.0,
369076,1,696.0,3132.0,2911.5,0.0,9640.0,0.93
122662,1,515.0,1030.0,2910.0,96.0,3516.0,2.825
115722,1,1431.0,1431.0,2907.0,0.0,0.0,2.031
701179,1,360.0,1800.0,2895.0,0.0,0.0,1.608
437523,1,0.0,0.0,2880.0,2900.0,0.0,
375046,1,0.0,0.0,2880.0,2880.0,0.0,
369370,1,454.0,2996.3999999999996,2877.6,0.0,7.0,0.96
294623,1,0.0,0.0,2870.0,2890.0,0.0,
462029,1,0.0,0.0,2863.68,0.0,0.0,
381288,1,0.0,0.0,2840.0,2842.0,0.0,
504655,1,145.0,2900.0,2840.0,160.0,0.0,0.979
335520,1,6384.0,2266.3199999999997,2837.16,17.0,1525.48,1.252
426670,1,1197.0,1077.3,2831.4,0.0,6392.1,2.628
437287,1,2525.0,2525.0,2815.0,0.0,2356.0,1.115
283194,1,3824.0,4588.8,2794.8,1.0,6749.0,0.609
145782,1,0.0,0.0,2788.539,2790.0,0.0,
401481,1,0.0,0.0,2775.0,2775.0,0.0,
116981,1,2445.0,2445.0,2770.0,0.0,2110.0,1.133
386642,1,269.0,659.0500000000001,2758.7,0.0,163.0,4.186
100098,1,0.0,0.0,2740.0,2740.0,0.0,
354792,1,1258.0,6290.0,2740.0,0.0,2990.0,0.436
458228,1,1060.0,5406.0,2738.7,97.0,4662.1,0.507
143362,1,16535.0,1653.5,2734.7,1.0,2614.9,1.654
106907,1,99.0,1782.0,2700.0,0.0,2934.0,1.515
372307,1,1056.0,3168.0,2694.0,18.0,4086.0,0.85
455730,1,0.0,0.0,2690.0,2690.0,0.0,
388678,1,700.0,2100.0,2670.0,228.0,7704.0,1.271
380456,1,0.0,0.0,2664.0,2676.0,0.0,
459056,1,95.0,1320.5,2654.9,14.0,0.0,2.011
435786,1,0.0,0.0,2637.0,2642.0,0.0,
362882,1,149.0,1490.0,2620.0,0.0,3030.0,1.758
372123,1,488.0,468.47999999999996,2619.84,66.0,3694.7200000000003,5.592
