sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg,변화_kg,안전재고_kg,악성재고_AS_IS
410676,1,실온,11800.0,11206.33,-593.67,2468.0,False
410676,2,실온,0.0,0.0,0.0,0.0,False
410676,4,실온,12920.0,12920.0,0.0,1970.67,False
410676,5,실온,0.0,593.67,593.67,593.67,False
437314,1,냉장,0.0,2745.46,2745.46,2745.46,False
437314,2,냉장,0.0,992.88,992.88,992.88,False
437314,4,냉장,6040.0,1993.08,-4046.92,1872.28,False
437314,5,냉장,0.0,308.59,308.59,308.59,False
426361,1,실온,12061.5,11847.41,-214.09,1910.7,False
426361,2,실온,0.0,1212.75,1212.75,1212.75,False
426361,4,실온,4224.0,2671.76,-1552.24,1781.18,False
426361,5,실온,0.0,553.58,553.58,553.58,False
394662,1,냉동,8328.0,8328.0,0.0,1236.4,False
394662,2,냉동,0.0,682.0,682.0,682.0,False
394662,3,냉동,1200.0,1200.0,0.0,841.2,False
394662,4,냉동,7236.0,6218.8,-1017.2,997.6,False
394662,5,냉동,0.0,335.2,335.2,335.2,False
384845,1,실온,0.0,591.67,591.67,591.67,False
384845,2,실온,5900.0,4462.67,-1437.33,310.67,False
384845,4,실온,0.0,623.0,623.0,623.0,False
384845,5,실온,0.0,222.67,222.67,222.67,False
348969,1,실온,780.0,780.0,0.0,589.33,False
348969,2,실온,6760.0,6760.0,0.0,422.0,False
348969,4,실온,5720.0,5425.67,-294.33,747.33,False
348969,5,실온,0.0,294.33,294.33,294.33,False
399894,1,실온,6440.0,6182.0,-258.0,1135.33,False
399894,2,실온,8080.0,8080.0,0.0,258.67,False
399894,4,실온,2020.0,2020.0,0.0,1036.67,False
399894,5,실온,0.0,258.0,258.0,258.0,False
285947,1,실온,9795.0,9453.88,-341.12,472.0,False
285947,2,실온,0.0,513.75,513.75,513.75,False
285947,4,실온,0.0,424.75,424.75,424.75,False
285947,5,실온,855.0,257.62,-597.38,171.75,False
211959,1,실온,2640.0,2384.33,-255.67,452.33,False
211959,2,실온,6780.0,6780.0,0.0,364.33,False
211959,4,실온,4340.0,4340.0,0.0,382.67,False
211959,5,실온,0.0,255.67,255.67,255.67,False
200034,1,실온,4180.0,4180.0,0.0,450.0,False
200034,2,실온,3500.0,3500.0,0.0,229.33,False
200034,4,실온,3980.0,3767.67,-212.33,453.67,False
200034,5,실온,0.0,212.33,212.33,212.33,False
438888,1,냉동,3468.0,3468.0,0.0,444.2,False
438888,2,냉동,18.0,229.4,211.4,229.4,False
438888,3,냉동,1608.0,1608.0,0.0,292.4,False
438888,4,냉동,5040.0,4721.5,-318.5,331.1,False
438888,5,냉동,6.0,113.1,107.1,113.1,False
221145,1,실온,1220.0,1220.0,0.0,415.33,False
221145,2,실온,4580.0,4374.0,-206.0,195.0,False
221145,4,실온,2400.0,2400.0,0.0,387.67,False
221145,5,실온,0.0,206.0,206.0,206.0,False
437324,1,냉동,384.8,2854.18,2469.38,2854.18,False
437324,2,냉동,0.0,1165.5,1165.5,1165.5,False
