sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
410676,1,실온,11800.0,11800.0,0.0
410676,2,실온,0.0,0.0,0.0
410676,4,실온,12920.0,12920.0,0.0
410676,5,실온,0.0,0.0,0.0
437314,1,냉장,0.0,0.0,0.0
437314,2,냉장,0.0,0.0,0.0
437314,4,냉장,6040.0,6040.0,0.0
437314,5,냉장,0.0,0.0,0.0
426361,1,실온,12061.5,12061.5,0.0
426361,2,실온,0.0,0.0,0.0
426361,4,실온,4224.0,4224.0,0.0
426361,5,실온,0.0,0.0,0.0
394662,1,냉동,8328.0,8328.0,0.0
394662,2,냉동,0.0,0.0,0.0
394662,3,냉동,1200.0,1200.0,0.0
394662,4,냉동,7236.0,7236.0,0.0
394662,5,냉동,0.0,0.0,0.0
384845,1,실온,0.0,0.0,0.0
384845,2,실온,5900.0,5900.0,0.0
384845,4,실온,0.0,0.0,0.0
384845,5,실온,0.0,0.0,0.0
348969,1,실온,780.0,780.0,0.0
348969,2,실온,6760.0,6760.0,0.0
348969,4,실온,5720.0,5720.0,0.0
348969,5,실온,0.0,0.0,0.0
399894,1,실온,6440.0,6440.0,0.0
399894,2,실온,8080.0,8080.0,0.0
399894,4,실온,2020.0,2020.0,0.0
399894,5,실온,0.0,0.0,0.0
285947,1,실온,9795.0,9795.0,0.0
285947,2,실온,0.0,0.0,0.0
285947,4,실온,0.0,0.0,0.0
285947,5,실온,855.0,855.0,0.0
211959,1,실온,2640.0,2640.0,0.0
211959,2,실온,6780.0,6780.0,0.0
211959,4,실온,4340.0,4340.0,0.0
211959,5,실온,0.0,0.0,0.0
200034,1,실온,4180.0,4180.0,0.0
200034,2,실온,3500.0,3500.0,0.0
200034,4,실온,3980.0,3980.0,0.0
200034,5,실온,0.0,0.0,0.0
438888,1,냉동,3468.0,3468.0,0.0
438888,2,냉동,18.0,18.0,0.0
438888,3,냉동,1608.0,1608.0,0.0
438888,4,냉동,5040.0,5040.0,0.0
438888,5,냉동,6.0,6.0,0.0
221145,1,실온,1220.0,1220.0,0.0
221145,2,실온,4580.0,4580.0,0.0
221145,4,실온,2400.0,2400.0,0.0
221145,5,실온,0.0,0.0,0.0
437324,1,냉동,384.8,384.8,0.0
437324,2,냉동,0.0,0.0,0.0
437324,3,냉동,6053.2,6053.2,0.0
437324,4,냉동,0.0,0.0,0.0
437324,5,냉동,4129.2,4129.2,0.0
196768,1,실온,5826.62,5826.62,0.0
196768,2,실온,2442.89,2442.89,0.0
196768,4,실온,0.0,0.0,0.0
196768,5,실온,2030.24,2030.24,0.0
203202,1,실온,4400.0,4400.0,0.0
203202,2,실온,7200.0,7200.0,0.0
203202,4,실온,5820.0,5820.0,0.0
203202,5,실온,0.0,0.0,0.0
107027,1,냉동,11394.0,11394.0,0.0
107027,2,냉동,0.0,0.0,0.0
107027,3,냉동,0.0,0.0,0.0
107027,4,냉동,0.0,0.0,0.0
107027,5,냉동,0.0,0.0,0.0
371325,1,냉동,4264.92,4264.92,0.0
371325,2,냉동,0.0,0.0,0.0
371325,3,냉동,0.0,0.0,0.0
371325,4,냉동,6293.43,6293.43,0.0
371325,5,냉동,0.0,0.0,0.0
441403,1,실온,13547.86,13547.86,0.0
441403,2,실온,0.0,0.0,0.0
441403,4,실온,0.0,0.0,0.0
441403,5,실온,0.0,0.0,0.0
437606,1,실온,19625.0,19625.0,0.0
437606,2,실온,625.0,625.0,0.0
437606,4,실온,0.0,0.0,0.0
437606,5,실온,0.0,0.0,0.0
396370,1,실온,12728.0,12728.0,0.0
396370,2,실온,0.0,0.0,0.0
396370,4,실온,0.0,0.0,0.0
396370,5,실온,0.0,0.0,0.0
449508,1,실온,2069.76,2069.76,0.0
449508,2,실온,6988.8,6988.8,0.0
449508,4,실온,0.0,0.0,0.0
449508,5,실온,0.0,0.0,0.0
436027,1,냉동,0.0,0.0,0.0
436027,2,냉동,0.0,0.0,0.0
436027,3,냉동,0.0,0.0,0.0
436027,4,냉동,0.0,0.0,0.0
436027,5,냉동,28950.0,28950.0,0.0
336083,1,실온,2260.0,2260.0,0.0
336083,2,실온,0.0,0.0,0.0
336083,4,실온,0.0,0.0,0.0
336083,5,실온,0.0,0.0,0.0
441404,1,실온,3309.66,3309.66,0.0
441404,2,실온,0.0,0.0,0.0
441404,4,실온,0.0,0.0,0.0
441404,5,실온,0.0,0.0,0.0
438895,1,냉동,936.0,936.0,0.0
438895,2,냉동,15.6,15.6,0.0
438895,3,냉동,873.6,873.6,0.0
438895,4,냉동,1474.2,1474.2,0.0
438895,5,냉동,0.0,0.0,0.0
197095,1,실온,1667.0,1667.0,0.0
197095,2,실온,5350.0,5350.0,0.0
197095,4,실온,0.0,0.0,0.0
197095,5,실온,0.0,0.0,0.0
342003,1,실온,800.0,800.0,0.0
342003,2,실온,4160.0,4160.0,0.0
342003,4,실온,2550.0,2550.0,0.0
342003,5,실온,0.0,0.0,0.0
219674,1,실온,2020.0,2020.0,0.0
219674,2,실온,1380.0,1380.0,0.0
219674,4,실온,2260.0,2260.0,0.0
219674,5,실온,0.0,0.0,0.0
437323,1,냉동,812.5,812.5,0.0
437323,2,냉동,0.0,0.0,0.0
437323,3,냉동,2937.5,2937.5,0.0
437323,4,냉동,0.0,0.0,0.0
437323,5,냉동,2575.0,2575.0,0.0
126988,1,냉동,184.0,184.0,0.0
126988,2,냉동,0.0,0.0,0.0
126988,3,냉동,0.0,0.0,0.0
126988,4,냉동,3274.0,3274.0,0.0
126988,5,냉동,0.0,0.0,0.0
262993,1,실온,0.0,0.0,0.0
262993,2,실온,17150.0,17150.0,0.0
262993,4,실온,0.0,0.0,0.0
262993,5,실온,9830.0,9830.0,0.0
449440,1,냉장,0.0,0.0,0.0
