sku_id,ASIS_1센터_kg,ASIS_2센터_kg,ASIS_3센터_kg,ASIS_4센터_kg,ASIS_5센터_kg,TO_BE_1센터_kg,TO_BE_2센터_kg,TO_BE_3센터_kg,TO_BE_4센터_kg,TO_BE_5센터_kg,TO_BE_총재고_kg,storage_type
100070,680.0,0.0,0.0,0.0,0.0,663.3,1.3,0.0,6.7,8.7,680.0,실온
100077,860.0,0.0,0.0,0.0,0.0,826.0,10.0,0.0,22.3,1.7,860.0,실온
100098,0.0,820.0,0.0,0.0,0.0,45.7,746.3,0.0,22.0,6.0,820.0,실온
100100,900.0,0.0,0.0,0.0,0.0,874.3,1.0,0.0,10.0,14.7,900.0,실온
100108,2020.0,1660.0,0.0,0.0,1000.0,2020.0,1605.7,0.0,54.3,1000.0,4680.0,실온
100572,0.0,1277.1,0.0,0.0,0.0,32.0,1207.9,0.0,26.1,11.0,1277.0,실온
100729,0.0,885.0,0.0,0.0,0.0,16.4,849.8,0.0,10.9,8.0,885.1,실온
100732,1822.5,0.0,0.0,0.0,0.0,1794.0,4.0,0.0,16.6,7.9,1822.5,실온
100921,0.0,6900.0,0.0,0.0,0.0,36.0,6819.0,0.0,32.3,12.8,6900.1,실온
100965,2180.0,3760.0,0.0,0.0,4690.0,2180.0,3760.0,0.0,344.7,4345.3,10630.0,실온
101349,0.0,1200.6,0.0,0.0,0.0,22.8,1152.7,0.0,18.9,6.1,1200.5,실온
103556,55.2,93.8,0.0,115.9,0.0,55.2,93.8,0.0,96.8,19.1,264.9,실온
103655,819.0,0.0,0.0,0.0,0.0,789.9,6.6,0.0,12.4,10.1,819.0,실온
104226,0.0,4075.8,0.0,0.0,0.0,33.6,3993.8,0.0,34.1,14.3,4075.8,실온
105314,2922.0,1389.0,0.0,0.0,0.0,2922.0,1216.2,0.0,85.1,87.7,4311.0,실온
105474,469.8,0.0,0.0,0.0,0.0,436.3,14.3,0.0,11.5,7.8,469.9,냉장
105599,1973.2,0.0,0.0,0.0,0.0,1736.1,56.3,0.0,135.5,45.2,1973.1,냉장
105682,863.5,0.0,0.0,0.0,0.0,775.4,50.4,0.0,30.9,6.8,863.5,실온
106239,1560.0,0.0,0.0,0.0,0.0,1534.8,4.0,0.0,11.2,10.0,1560.0,실온
106394,580.6,0.0,0.0,0.0,0.0,564.0,5.8,0.0,8.0,2.9,580.7,실온
106520,510.0,0.0,0.0,0.0,0.0,480.2,5.5,0.0,19.2,5.2,510.1,실온
106675,566.0,0.0,0.0,0.0,0.0,554.7,3.8,0.0,4.5,3.0,566.0,실온
106678,732.0,0.0,0.0,0.0,0.0,711.3,8.1,0.0,6.5,6.2,732.1,실온
106807,0.0,576.0,0.0,0.0,0.0,27.9,505.8,0.0,26.1,16.2,576.0,실온
106811,0.0,0.0,0.0,0.0,190.8,9.5,3.7,0.0,7.0,170.7,190.9,실온
106819,0.0,730.8,0.0,0.0,0.0,11.4,703.8,0.0,10.7,4.9,730.8,실온
106907,1782.0,0.0,0.0,0.0,0.0,1707.0,19.8,0.0,43.2,12.0,1782.0,실온
106909,984.6,1225.8,0.0,0.0,0.0,936.1,1225.8,0.0,33.8,14.8,2210.5,실온
106912,0.0,354.6,0.0,0.0,0.0,20.4,300.7,0.0,23.4,10.0,354.5,실온
106931,1854.0,1782.0,0.0,1854.0,0.0,1819.5,1782.0,0.0,1854.0,34.5,5490.0,실온
106977,0.0,837.0,0.0,0.0,0.0,20.8,791.8,0.0,18.6,5.7,836.9,실온
107027,11394.0,0.0,0.0,0.0,0.0,10279.8,776.2,123.3,122.8,91.8,11393.9,냉동
107242,0.0,354.0,0.0,0.0,0.0,12.2,330.6,0.0,9.0,2.2,354.0,실온
107247,600.0,0.0,0.0,0.0,0.0,581.4,6.0,0.0,9.8,3.0,600.2,실온
107255,564.9,0.0,0.0,0.0,0.0,540.3,8.0,0.0,11.9,4.7,564.9,실온
107814,637.0,0.0,0.0,0.0,0.0,611.3,6.6,0.0,12.8,6.3,637.0,실온
107835,571.0,0.0,0.0,0.0,0.0,551.1,6.9,0.0,8.9,4.1,571.0,실온
107997,728.0,0.0,0.0,0.0,0.0,704.4,8.0,0.0,9.9,5.8,728.1,실온
108208,881.9,4017.3,0.0,0.0,0.0,881.9,3985.4,0.0,26.4,5.6,4899.3,실온
108210,1181.9,5609.6,0.0,0.0,0.0,1181.9,5589.8,0.0,14.2,5.6,6791.5,실온
108215,266.6,1385.4,0.0,0.0,0.0,266.6,1359.2,0.0,21.4,4.8,1652.0,실온
108217,1448.3,9960.7,0.0,0.0,0.0,1448.3,9912.9,0.0,34.1,13.7,11409.0,실온
108361,0.0,990.0,0.0,0.0,0.0,28.1,937.9,0.0,19.4,4.6,990.0,실온
108420,0.0,2391.4,0.0,0.0,0.0,196.0,1959.8,0.0,161.9,73.7,2391.4,실온
108424,0.0,7224.8,0.0,0.0,0.0,108.8,7046.9,0.0,52.3,16.9,7224.9,실온
109379,0.0,505.7,0.0,0.0,0.0,13.2,481.1,0.0,9.0,2.4,505.7,실온
109735,670.0,0.0,0.0,0.0,0.0,654.1,5.9,0.0,7.2,2.7,669.9,실온
111912,2996.0,7994.0,0.0,0.0,0.0,2996.0,7969.7,0.0,16.6,7.7,10990.0,실온
111913,94.0,2151.0,0.0,0.0,0.0,94.0,2112.2,0.0,27.2,11.6,2245.0,실온
111919,0.0,2427.0,0.0,0.0,0.0,39.9,2322.8,0.0,49.2,15.1,2427.0,실온
111949,0.0,2738.0,0.0,0.0,2554.0,35.1,2555.2,0.0,147.8,2554.0,5292.1,실온
112165,0.0,0.0,0.0,0.0,1709.5,10.1,5.6,0.0,8.8,1685.1,1709.6,실온
112323,996.0,0.0,0.0,0.0,0.0,931.9,19.9,0.0,29.4,14.8,996.0,냉장
112748,0.0,1405.0,0.0,0.0,0.0,20.2,1370.0,0.0,9.3,5.5,1405.0,실온
112751,0.0,3336.0,0.0,0.0,0.0,161.6,3077.0,0.0,15.4,82.0,3336.0,실온
114328,969.7,0.0,0.0,0.0,1307.3,740.4,103.0,19.9,106.4,1307.3,2277.0,냉동
114430,0.0,0.0,0.0,0.0,1398.0,38.6,26.6,0.0,39.9,1292.9,1398.0,실온
114478,0.0,0.0,0.0,0.0,2041.6,72.1,53.3,0.0,72.2,1844.0,2041.6,실온
114583,0.0,0.0,0.0,0.0,3204.0,158.6,19.2,0.0,16.0,3010.2,3204.0,실온
114835,0.0,802.0,0.0,0.0,0.0,9.6,775.1,0.0,12.0,5.4,802.1,실온
114901,0.0,0.0,0.0,1834.2,0.0,18.7,10.4,6.1,1792.2,6.8,1834.2,냉동
115722,1431.0,0.0,810.0,0.0,1058.0,1431.0,41.1,703.4,65.5,1058.0,3299.0,냉동
116140,0.0,0.0,5929.5,0.0,0.0,532.5,145.7,5123.7,96.1,31.5,5929.5,냉동
116709,1160.0,0.0,0.0,0.0,0.0,1082.5,11.5,0.0,49.4,16.6,1160.0,실온
116945,1362.9,6932.5,0.0,0.0,0.0,1168.7,6932.5,0.0,126.6,67.5,8295.3,실온
116981,2445.0,0.0,0.0,0.0,1380.0,2445.0,48.2,44.2,65.4,1222.1,3824.9,냉동
117642,0.0,0.0,1391.0,0.0,6747.0,163.9,86.0,1391.0,159.8,6337.3,8138.0,냉동
117834,579.5,0.0,0.0,0.0,0.0,544.4,8.8,0.0,18.2,8.2,579.6,실온
117971,1789.2,0.0,0.0,0.0,0.0,1738.7,11.5,0.0,26.9,12.1,1789.2,실온
118803,1260.0,0.0,0.0,0.0,0.0,1255.3,0.0,0.0,1.0,3.7,1260.0,실온
120459,0.0,0.0,0.0,0.0,1697.8,62.1,75.4,0.0,151.3,1408.9,1697.7,실온
122662,1030.0,0.0,0.0,0.0,2146.0,1030.0,47.2,0.0,46.6,2052.2,3176.0,실온
122751,288.0,0.0,0.0,0.0,490.0,277.9,3.3,3.1,3.7,490.0,778.0,냉동
122935,982.4,1480.9,0.0,0.0,0.0,982.4,1334.7,0.0,120.0,26.2,2463.3,실온
122939,0.0,0.0,0.0,0.0,892.0,18.5,10.6,0.0,17.9,845.0,892.0,냉장
123017,554.0,0.0,0.0,0.0,1094.0,554.0,51.4,0.0,26.3,1016.3,1648.0,냉장
123057,540.0,0.0,0.0,0.0,0.0,516.4,11.0,0.0,7.1,5.5,540.0,냉장
123125,1000.0,0.0,0.0,0.0,0.0,957.2,21.9,0.0,10.3,10.7,1000.1,냉장
123452,0.0,0.0,0.0,0.0,1092.0,23.8,24.2,0.0,18.3,1025.6,1091.9,냉장
123913,1110.0,0.0,0.0,0.0,2536.0,1110.0,113.7,0.0,78.9,2343.4,3646.0,냉장
124145,0.0,0.0,0.0,0.0,1260.0,19.5,12.0,0.0,25.8,1202.7,1260.0,실온
124171,3240.2,0.0,0.0,0.0,0.0,1828.4,490.2,79.7,508.6,333.2,3240.1,냉동
124182,757.4,0.0,0.0,0.0,0.0,271.1,187.3,137.0,107.6,54.4,757.4,냉동
124282,0.0,0.0,0.0,0.0,1409.8,29.2,5.9,13.6,8.5,1352.6,1409.8,냉동
126253,2881.8,0.0,0.0,0.0,0.0,1811.0,129.0,107.8,748.6,85.4,2881.8,냉동
126307,1528.0,0.0,0.0,0.0,0.0,1462.8,16.4,15.5,21.6,11.7,1528.0,냉동
126735,0.0,460.0,0.0,0.0,0.0,14.3,426.4,0.0,13.0,6.3,460.0,실온
126793,0.0,0.0,0.0,755.2,0.0,27.0,2.9,3.3,716.2,5.8,755.2,냉동
126988,184.0,0.0,0.0,3274.0,0.0,200.6,139.9,110.1,2928.6,78.7,3457.9,냉동
127235,1545.6,0.0,0.0,0.0,0.0,1496.7,16.3,0.0,15.8,16.7,1545.5,실온
127692,0.0,0.0,0.0,544.8,0.0,20.4,10.4,0.0,510.1,3.9,544.8,실온
128357,1088.0,0.0,0.0,0.0,0.0,1076.6,2.0,0.0,4.2,5.1,1087.9,실온
128459,0.0,0.0,0.0,0.0,600.0,14.2,10.1,0.0,21.7,554.0,600.0,실온
128498,0.0,0.0,0.0,0.0,900.0,56.8,23.2,0.0,42.5,777.5,900.0,실온
129654,0.0,0.0,0.0,0.0,1038.6,31.0,14.6,0.0,16.3,976.7,1038.6,냉장
130387,0.0,0.0,0.0,0.0,818.0,29.4,20.4,0.0,38.6,729.6,818.0,실온
130805,0.0,0.0,0.0,3272.0,0.0,133.7,40.7,0.0,3064.5,33.2,3272.1,냉장
130817,0.0,0.0,0.0,366.0,0.0,23.4,4.1,0.0,334.0,4.6,366.1,냉장
131132,1706.0,0.0,0.0,0.0,1686.0,1639.5,43.7,0.0,22.8,1686.0,3392.0,냉장
133099,329.0,0.0,0.0,0.0,0.0,273.7,38.5,4.1,8.0,4.7,329.0,냉동
133376,0.0,808.8,0.0,0.0,0.0,27.8,769.2,0.0,5.2,6.6,808.8,실온
133413,0.0,1060.8,0.0,0.0,0.0,50.3,941.4,0.0,44.2,24.9,1060.8,실온
133616,348.0,0.0,0.0,0.0,0.0,333.3,5.3,0.0,6.8,2.6,348.0,냉장
133938,398.8,1819.1,0.0,0.0,0.0,398.8,1812.1,0.0,4.4,2.7,2218.0,실온
134356,724.2,0.0,0.0,0.0,0.0,686.3,7.0,17.0,10.9,3.1,724.3,냉동
135090,490.0,0.0,0.0,0.0,0.0,472.8,4.9,0.0,8.4,3.9,490.0,실온
135511,519.0,0.0,0.0,0.0,0.0,498.2,6.5,0.0,10.1,4.2,519.0,실온
135659,355.0,2465.0,0.0,0.0,0.0,321.9,2465.0,0.0,23.2,10.0,2820.1,실온
135871,4060.5,1469.0,0.0,0.0,1370.0,4060.5,1469.0,0.0,57.8,1312.2,6899.5,실온
136970,1490.0,0.0,0.0,0.0,0.0,1452.0,12.3,0.0,15.3,10.3,1489.9,실온
136971,360.0,0.0,0.0,0.0,0.0,355.3,3.5,0.0,0.8,0.3,359.9,실온
137029,0.0,0.0,0.0,854.3,0.0,10.7,6.6,4.1,830.9,1.9,854.2,냉동
137062,1040.0,0.0,0.0,0.0,0.0,1007.0,10.7,0.0,11.2,11.2,1040.1,실온
137063,2540.0,0.0,0.0,0.0,0.0,2505.8,16.0,0.0,10.3,7.8,2539.9,실온
137197,0.0,1204.9,0.0,0.0,0.0,22.3,1178.2,0.0,1.4,3.0,1204.9,실온
137714,1402.5,0.0,0.0,0.0,0.0,1370.8,14.8,0.0,11.2,5.7,1402.5,실온
137736,372.6,0.0,777.6,0.0,1354.0,372.6,29.6,777.6,35.3,1289.1,2504.2,냉동
138070,555.0,0.0,0.0,1435.0,0.0,440.2,61.3,0.0,1435.0,53.5,1990.0,냉장
138260,1635.0,2825.0,0.0,0.0,1155.0,1635.0,2796.7,0.0,28.3,1155.0,5615.0,실온
138271,1066.2,0.0,1942.5,0.0,1065.0,878.3,61.1,1942.5,126.9,1065.0,4073.8,냉동
138272,3693.8,0.0,2788.8,0.0,1638.8,3693.8,79.9,2788.8,71.0,1487.8,8121.3,냉동
138323,630.0,1809.0,0.0,0.0,1728.0,630.0,1809.0,0.0,65.0,1663.0,4167.0,실온
138365,971.2,0.0,2263.8,0.0,2927.5,971.2,64.5,2263.8,64.5,2798.5,6162.5,냉동
138382,2042.0,0.0,0.0,0.0,0.0,1963.7,20.2,0.0,40.8,17.3,2042.0,실온
138390,0.0,571.5,0.0,0.0,0.0,13.4,551.1,0.0,4.6,2.5,571.6,실온
138391,0.0,0.0,0.0,0.0,588.0,20.3,16.1,0.0,25.9,525.7,588.0,실온
138392,748.0,578.0,0.0,0.0,595.0,748.0,538.6,0.0,39.4,595.0,1921.0,실온
139121,1567.0,0.0,0.0,0.0,0.0,1456.0,50.5,0.0,41.3,19.2,1567.0,실온
140076,556.0,0.0,0.0,0.0,0.0,548.4,1.8,0.0,2.8,3.0,556.0,실온
140093,0.0,511.0,0.0,0.0,0.0,13.8,473.7,0.0,16.9,6.7,511.1,실온
